Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2019-01-10 04:07:59, 2019-01-10 11:44:47,80,7.36, :(, ,74,7204,8

 2019-01-13 04:48:40, 2019-01-13 13:26:35,99,8.37, :|, Away from home:??,81,1151,9

 2019-01-14 03:57:06, 2019-01-14 05:03:44,14,1.06, :(, ,0,3945,2

 2019-01-14 08:55:47, 2019-01-14 11:59:11,33,3.03, :(, ,105,3948,4

 2019-01-14 12:00:02, 2019-01-14 12:18:33,4,0.18, :|, ,80,3,1

 2019-01-16 23:10:05, 2019-01-17 05:59:17,34,6.49, :|, ,126,3067,7

 2019-01-19 23:05:31, 2019-01-20 06:53:03,76,7.47, :(, ,106,2348,8

 2019-01-21 00:22:30, 2019-01-21 06:59:38,71,6.37, :|, Climbing,96,873,7

 2019-01-22 00:44:26, 2019-01-22 07:56:37,83,7.12, :|, ??,87,4763,8

 2019-01-23 00:07:56, 2019-01-23 07:33:46,84,7.25, :|, Climbing:Worked out,91,7881,8

 2019-01-24 00:23:06, 2019-01-24 07:37:56,79,7.14, :|, ??,81,4979,8

 2019-01-24 22:56:47, 2019-01-25 06:47:24,80,7.5, :|, ,91,6371,8

 2019-01-26 02:46:30, 2019-01-26 07:49:59,54,5.03, :|, Pole fitness,89,6988,6

 2019-01-26 22:29:57, 2019-01-27 07:50:26,90,9.2, :|, Climbing:??,86,2910,10

 2019-01-29 00:04:53, 2019-01-29 07:48:10,83,7.43, :|, ,77,5630,8

 2019-01-29 22:35:50, 2019-01-30 07:19:45,78,8.43, :(, ,86,8489,9

 2019-01-30 23:45:04, 2019-01-31 07:00:06,86,7.15, :|, ,87,8106,8

 2019-01-31 22:29:02, 2019-02-01 06:25:51,81,7.56, :|, ,80,6139,8

 2019-02-01 21:30:06, 2019-02-02 06:30:17,100,9, :(, ,79,4176,9

 2019-02-02 21:42:48, 2019-02-03 07:48:31,100,10.05, :|, Climbing,75,4878,11

 2019-02-03 22:45:16, 2019-02-04 07:20:14,80,8.34, :|, Climbing:Pole fitness:Worked out,88,4268,9

 2019-02-04 23:38:32, 2019-02-05 06:59:24,68,7.2, :(, Climbing:Pole fitness:Worked out:??,86,18352,8

 2019-02-06 23:22:58, 2019-02-07 07:33:05,88,8.1, :(, Pole fitness:Worked out:??,91,7845,9

 2019-02-08 00:13:42, 2019-02-08 06:57:28,66,6.43, :(, Worked out:??,77,9208,7

 2019-02-09 01:50:17, 2019-02-09 05:01:36,37,3.11, , Drinking alcohol,0,8484,4

 2019-02-10 23:47:59, 2019-02-11 07:25:35,86,7.37, :|, Worked out,86,4093,8

 2019-02-11 23:58:03, 2019-02-12 07:13:31,74,7.15, :|, Worked out:??,65,10553,8

 2019-02-12 22:53:56, 2019-02-13 08:03:04,100,9.09, :|, Climbing:Worked out:??,69,6730,10

 2019-02-14 00:00:31, 2019-02-14 07:19:35,82,7.19, :(, ,80,9454,8

 2019-02-14 22:17:44, 2019-02-15 07:25:41,100,9.07, :(, Feeling ill ??:??,98,972,10

 2019-02-15 22:56:44, 2019-02-16 08:03:06,95,9.06, :|, Away from home:Feeling ill ??,72,6227,10

 2019-02-16 22:47:30, 2019-02-17 08:27:18,98,9.39, :|, Away from home:??,79,4898,10

 2019-02-22 00:59:59, 2019-02-22 07:41:54,81,6.41, :|, Feeling ill ??,88,5477,7

 2019-02-23 00:02:51, 2019-02-23 06:24:43,68,6.21, :(, ,105,10966,7

 2019-02-24 22:46:04, 2019-02-25 08:00:17,100,9.14, :|, Feeling ill ??:Totm,93,12095,10

 2019-02-26 21:51:57, 2019-02-27 06:51:04,100,8.59, :|, Feeling ill ??,125,834,9

 2019-02-27 22:53:21, 2019-02-28 06:58:52,95,8.05, :|, Feeling ill ??,83,10971,9

